Plant,Parent_Endo,Endo,status,Transmission,Bud_Number,Buds_per_inflorescence,Seed_Number,Seeds_per_bud,PollenCount,Pollen_per_bud,Tiller_Number,Inflorescence_Number,Inflorescences_per_Tiller,Shoot_Mass(g),Root_Mass(g),Total_Mass(g),LloydG,,
210,1,0,1,+-,26,13,9,0.346153846,,,13,2,0.153846154,3.245,0.549,3.794,,,
170,1,0,1,+-,83,27.66666667,30,0.361445783,,,7,3,0.428571429,2.744,0.321,3.065,,,
152,1,0,1,+-,103.5,51.75,37.5,0.362318841,,,8,2,0.25,2.187,0.264,2.451,,,
60,1,1,2,++,24,8,9,0.375,,,15,3,0.2,1.5,0.241,1.741,,,
216,1,1,2,++,21,21,8,0.380952381,,,3,1,0.333333333,0.878,0.189,1.067,,,
35,1,0,1,+-,146,36.5,56,0.383561644,,,7,4,0.571428571,2.147,0.484,2.631,,,
56,1,1,2,++,68,22.66666667,28,0.411764706,,,5,3,0.6,1.355,0.237,1.592,,,
113,0,0,0,--,28,14,12,0.428571429,,,9,2,0.222222222,2.688,0.26,2.948,,,
221,1,0,1,+-,213,35.5,92,0.431924883,,,7,6,0.857142857,3.082,0.479,3.561,,,
206,0,0,0,--,58,29,26,0.448275862,,,5,2,0.4,2.182,0.282,2.464,,,
68,1,0,1,+-,40,20,18,0.45,,,6,2,0.333333333,2.058,0.312,2.37,,,
64,0,0,0,--,51,51,23,0.450980392,,,7,1,0.142857143,2.145,0.209,2.354,,,
23,0,0,0,--,29,9.666666667,16,0.551724138,,,9,3,0.333333333,2.317,0.163,2.48,,,
104,1,1,2,++,28,28,16,0.571428571,,,11,1,0.090909091,1.454,0.262,1.716,,,
182,1,1,2,++,113,22.6,67,0.592920354,,,11,5,0.454545455,2.185,0.368,2.553,,,
154,1,1,2,++,56,18.66666667,34,0.607142857,,,7,3,0.428571429,1.231,0.204,1.435,,,
165,1,1,2,++,42,14,26,0.619047619,,,11,3,0.272727273,1.493,0.253,1.746,,,
19,1,0,1,+-,58,19.33333333,37,0.637931034,,,7,3,0.428571429,2.777,0.514,3.291,,,
1,1,1,2,++,144,20.57142857,95,0.659722222,,,11,7,0.636363636,2.58,0.44,3.02,,,
12,1,1,2,++,68,17,45,0.661764706,,,9,4,0.444444444,1.88,0.278,2.158,,,
149,1,1,2,++,86,28.66666667,59,0.686046512,,,10,3,0.3,2.29,0.364,2.654,,,
231,1,1,2,++,210.8571429,23.42857143,153,0.725609756,,,12,9,0.75,2.867,0.535,3.402,,,
81,1,1,2,++,62,15.5,46,0.741935484,,,10,4,0.4,1.77,0.282,2.052,,,
86,1,1,2,++,34,11.33333333,26,0.764705882,,,7,3,0.428571429,1.684,0.264,1.948,,,
198,0,0,0,--,69,69,54,0.782608696,,,6,1,0.166666667,2.396,0.374,2.77,,,
49,0,0,0,--,16,16,14,0.875,,,9,1,0.111111111,2.605,0.301,2.906,,,
15,0,0,0,--,0,,0,,,,5,0,,0.71,0.034,0.744,,,
27,0,0,0,--,0,,0,,,,3,0,,0.233,,,,,
28,0,0,0,--,0,,0,,,,9,0,,0.98,0.085,1.065,,,
65,0,0,0,--,0,,0,,,,5,0,,0.346,0.027,0.373,,,
78,0,0,0,--,0,,0,,,,7,0,,1.144,0.055,1.199,,,
92,0,0,0,--,0,,0,,,,4,0,,1.866,0.059,1.925,,,
105,0,0,0,--,0,,0,,,,6,0,,0.549,0.013,0.562,,,
110,0,0,0,--,0,,0,,,,3,0,,0.246,0.009,0.255,,,
114,0,0,0,--,0,,0,,,,5,0,,1.436,0.154,1.59,,,
139,0,0,0,--,0,,0,,,,3,0,,0.752,0.031,0.783,,,
142,0,0,0,--,0,,0,,,,4,0,,1.142,0.062,1.204,,,
175,0,0,0,--,0,,0,,,,6,0,,1.015,0.078,1.093,,,
181,0,0,0,--,0,,0,,,,5,0,,0.488,0.007,0.495,,,
196,0,0,0,--,0,,0,,,,5,0,,1.124,0.051,1.175,,,
201,0,0,0,--,0,,0,,,,5,0,,1.962,0.144,2.106,,,
215,0,0,0,--,0,,0,,,,5,0,,1.295,0.115,1.41,,,
223,0,0,0,--,0,,0,,,,9,0,,3.881,0.189,4.07,,,
55,1,0,1,+-,0,,0,,,,5,0,,0.541,0.067,0.608,,,
58,0,1,1,+-,0,,0,,,,7,0,,0.885,0.122,1.007,,,
63,0,1,1,+-,0,,0,,,,5,0,,0.502,0.045,0.547,,,
79,1,0,1,+-,0,,0,,,,8,0,,1.949,0.043,1.992,,,
124,1,0,1,+-,0,,0,,,,9,0,,3.324,0.334,3.658,,,
131,0,1,1,+-,0,,0,,,,10,0,,1.005,0.081,1.086,,,
168,0,1,1,+-,0,,0,,,,6,0,,0.732,0.049,0.781,,,
33,1,1,2,++,0,,0,,,,8,0,,1.132,0.133,1.265,,,
71,1,1,2,++,0,,0,,,,9,0,,1.263,0.123,1.386,,,
128,1,1,2,++,0,,0,,,,11,0,,1.134,0.158,1.292,,,
180,1,1,2,++,0,,0,,,,9,0,,1.227,0.135,1.362,,,
18,0,0,0,--,48,16,0,,,,9,3,0.333333333,2.016,0.223,2.239,,,
24,1,0,1,+-,67,16.75,0,,,,12,4,0.333333333,1.177,0.096,1.273,,,
